"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,1,1,"B00PCCMDGA",true,21,"INR",25,4,16,4076,4.5,"https://www.amazon.in/dp/B00PCCMDGA","18342.00",false,false,false,false,"Aashirvaad Salt,with 4-Step Advantage, 1kg","https://m.media-amazon.com/images/I/81NrftYFxsL._AC_UL320_.jpg"
1,3,3,"B07G4NT9CN",true,25,"INR",70,45,64.29,3790,4.5,"https://www.amazon.in/dp/B07G4NT9CN","17055.00",false,false,false,false,"Amazon Brand - Vedaka Premium Sugar, 1kg","https://m.media-amazon.com/images/I/815wnKaJFiL._AC_UL320_.jpg"
1,4,4,"B071NZD6G9",true,230,"INR",325,95,29.23,14109,4.4,"https://www.amazon.in/dp/B071NZD6G9","62079.60",false,false,false,false,"Trust Classic Sulphur less Refined Sugar, 5kg","https://m.media-amazon.com/images/I/81wQbp7TWUL._AC_UL320_.jpg"
1,5,5,"B01GCFBG3G",true,379,"INR",490,111,22.65,23264,4.4,"https://www.amazon.in/dp/B01GCFBG3G","102361.60",false,false,false,false,"Aashirvaad Superior MP Atta, 10kg","https://m.media-amazon.com/images/I/91o0m2iIpVL._AC_UL320_.jpg"
1,6,6,"B009BA7S8M",true,239,"INR",325,86,26.46,4551,4.5,"https://www.amazon.in/dp/B009BA7S8M","20479.50",false,false,true,false,"Aashirvaad Atta with Multigrains, 5kg","https://m.media-amazon.com/images/I/81ZZDWDpXqL._AC_UL320_.jpg"
1,7,7,"B07VF6JW31",true,309,"INR",405,96,23.7,4135,4.4,"https://www.amazon.in/dp/B07VF6JW31","18194.00",false,false,true,false,"Fortune Chakki Fresh Atta, 10 kg, 100% Atta 0% Maida","https://m.media-amazon.com/images/I/516L7l3+ltL._AC_UL320_.jpg"
1,8,8,"B07H32HHVY",true,136,"INR",300,164,54.67,3571,4.3,"https://www.amazon.in/dp/B07H32HHVY","15355.30",false,false,false,false,"Amazon Brand - Vedaka Premium Mixed Dal, 1kg","https://m.media-amazon.com/images/I/91x5wy9GxTL._AC_UL320_.jpg"
1,9,9,"B07KGG57RL",true,79,"INR",90,11,12.22,11598,4.4,"https://www.amazon.in/dp/B07KGG57RL","51031.20",false,false,false,false,"Sunfeast Dark Fantasy Choco Fills plus Coffee Fills Combo 75g (Buy 3 Get 1 Free)","https://m.media-amazon.com/images/I/81Crql2FqrL._AC_UL320_.jpg"
1,10,10,"B06ZXXTYKL",true,151,"INR",160,9,5.63,11817,4.3,"https://www.amazon.in/dp/B06ZXXTYKL","50813.10",false,false,false,false,"Fortune Soyabean Oil, 1L Pouch","https://m.media-amazon.com/images/I/51GyUUKe-0L._AC_UL320_.jpg"
2,1,11,"B07TZJH4CQ",true,195,"INR",280,85,30.36,539,4.4,"https://www.amazon.in/dp/B07TZJH4CQ","2371.60",false,false,false,false,"Sanifresh Ultrashine Toilet Cleaner -1.5 X Extra Strong Extra Clean - 2L (1L X 2)","https://m.media-amazon.com/images/I/81QYE-62Q+L._AC_UL320_.jpg"
2,2,12,"B07NQ45VCW",true,16,"INR",20,4,20,2034,4.5,"https://www.amazon.in/dp/B07NQ45VCW","9153.00",false,false,true,false,"Britannia Little Hearts , 75g","https://m.media-amazon.com/images/I/71gZSzcw2iL._AC_UL320_.jpg"
2,3,13,"B077Y7RSDZ",true,18,"INR",20,2,10,11507,4.4,"https://www.amazon.in/dp/B077Y7RSDZ","50630.80",false,false,false,false,"Amazon Brand - Vedaka Fenugreek (Methi), 100g","https://m.media-amazon.com/images/I/91VYXfBLuLL._AC_UL320_.jpg"
2,4,14,"B01GCE6PC4",true,168,"INR",185,17,9.19,8944,4.3,"https://www.amazon.in/dp/B01GCE6PC4","38459.20",false,false,false,false,"Fortune Sunlite Refined Sunflower Oil, 1L","https://m.media-amazon.com/images/I/51TH5xE+2sL._AC_UL320_.jpg"
2,5,15,"B07GY1JL7T",true,188,"INR",209,21,10.05,14544,4.5,"https://www.amazon.in/dp/B07GY1JL7T","65448.00",false,false,false,false,"Cadbury Bournvita Health Drink, 500 g","https://m.media-amazon.com/images/I/71CxBbJyQKL._AC_UL320_.jpg"
2,6,16,"B01LZVAUO6",false,30,"INR",0,0,0,2399,4.3,"https://www.amazon.in/dp/B01LZVAUO6","10315.70",false,false,false,false,"Gala 132817 Swash Card Steel Scrubber 1pc","https://m.media-amazon.com/images/I/81qoDjJHjTS._AC_UL320_.jpg"
2,8,18,"B081QWLJBY",true,115,"INR",150,35,23.33,3224,4.3,"https://www.amazon.in/dp/B081QWLJBY","13863.20",false,false,false,false,"Amazon Brand - Vedaka Popular Red Masoor Dal Split, 1 kg","https://m.media-amazon.com/images/I/81v6eA8lmBL._AC_UL320_.jpg"
2,9,19,"B07XY7DDW1",true,146,"INR",199,53,26.63,3998,4.3,"https://www.amazon.in/dp/B07XY7DDW1","17191.40",false,false,false,false,"DiSano Oats, High in Protein & Fibre, 1Kg","https://m.media-amazon.com/images/I/71igNMDifDS._AC_UL320_.jpg"
2,10,20,"B09C9HD36B",false,40,"INR",0,0,0,1,5,"https://www.amazon.in/dp/B09C9HD36B","5.00",false,false,false,true,"24 Mantra Organic Thin Poha","https://m.media-amazon.com/images/I/612DO-8hRVL._AC_UL320_.jpg"
3,1,21,"B077YDZ542",true,30,"INR",45,15,33.33,40428,4.4,"https://www.amazon.in/dp/B077YDZ542","177883.20",false,false,true,false,"Amazon Brand - Vedaka Cumin (Jeera) Seed, 100g","https://m.media-amazon.com/images/I/91BKeAyu-xL._AC_UL320_.jpg"
3,2,22,"B081QWFXKG",true,100,"INR",150,50,33.33,6266,4.4,"https://www.amazon.in/dp/B081QWFXKG","27570.40",false,false,false,false,"Amazon Brand - Vedaka Popular Chana Dal, 1 kg","https://m.media-amazon.com/images/I/81WSvcKeF0L._AC_UL320_.jpg"
3,3,23,"B08DDTR8ZT",true,74,"INR",78,4,5.13,4788,4.2,"https://www.amazon.in/dp/B08DDTR8ZT","20109.60",false,false,false,false,"Tide White Detergent Bar Soap, Value Pack 200 gms x 5","https://m.media-amazon.com/images/I/71OP7hHIlXL._AC_UL320_.jpg"
3,5,25,"B01H7BK4JQ",true,150,"INR",180,30,16.67,7570,4.3,"https://www.amazon.in/dp/B01H7BK4JQ","32551.00",false,false,false,false,"Dabur Anmol Gold 100% Pure Coconut Oil | Improves Skin Metabolism and Boosts Immunity - 600ml ( 500ml + 20% extra)","https://m.media-amazon.com/images/I/71ZwGdYAkxL._AC_UL320_.jpg"
3,6,26,"B088G75RPQ",true,22,"INR",45,23,51.11,2,5,"https://www.amazon.in/dp/B088G75RPQ","10.00",false,false,false,false,"Waffy Biscuits Orange","https://m.media-amazon.com/images/I/4178cn5fIRL._AC_UL320_.jpg"
3,7,27,"B08D86C44T",true,314,"INR",399,85,21.3,6214,4.6,"https://www.amazon.in/dp/B08D86C44T","28584.40",false,false,false,false,"Vim Dishwash Liquid Gel Lemon Refill Pouch, 2 L","https://m.media-amazon.com/images/I/61jXOdOo8IL._AC_UL320_.jpg"
3,9,29,"B073X1FYJH",true,119,"INR",120,1,0.83,1059,4.3,"https://www.amazon.in/dp/B073X1FYJH","4553.70",false,false,false,false,"Colgate Sensitive Clove Everyday Protection Toothpaste, For Sensitivity Relief, 160g, 80g X 2 (Saver Pack)","https://m.media-amazon.com/images/I/71gJ+qFhrVS._AC_UL320_.jpg"
3,10,30,"B09CWW9PJJ",true,63,"INR",85,22,25.88,2,5,"https://www.amazon.in/dp/B09CWW9PJJ","10.00",false,false,false,false,"Ching's Secret Dark Soy Sauce,750g","https://m.media-amazon.com/images/I/41aXvo7F8EL._AC_UL320_.jpg"
4,1,31,"B07TRN5RBP",true,45,"INR",65,20,30.77,10800,4.4,"https://www.amazon.in/dp/B07TRN5RBP","47520.00",false,false,false,false,"Dhampure White Crystal Sugar, 1kg","https://m.media-amazon.com/images/I/51M+Id66imL._AC_UL320_.jpg"
4,2,32,"B07L3Q4998",true,15,"INR",20,5,25,73,4.2,"https://www.amazon.in/dp/B07L3Q4998","306.60",false,false,false,false,"Too Yumm! Karare Munchy Masala, 80g","https://m.media-amazon.com/images/I/71LpqX5a54L._AC_UL320_.jpg"
4,3,33,"B079NF3YC6",true,100,"INR",175,75,42.86,4472,4.3,"https://www.amazon.in/dp/B079NF3YC6","19229.60",false,false,false,false,"Amazon Brand - Vedaka Premium Black Chana, 1 kg","https://m.media-amazon.com/images/I/815MqCZxTqL._AC_UL320_.jpg"
4,4,34,"B089MFSP39",true,399,"INR",460,61,13.26,2254,4.5,"https://www.amazon.in/dp/B089MFSP39","10143.00",false,false,false,false,"Surf Excel Easy Wash Detergent Powder, 4 kg","https://m.media-amazon.com/images/I/61rDJVoKpeL._AC_UL320_.jpg"
4,5,35,"B09CFG4FX4",true,272,"INR",340,68,20,1,5,"https://www.amazon.in/dp/B09CFG4FX4","5.00",false,false,false,true,"Nestle GOLD Crunchy, Corn & Oats Flakes | Made with Whole Grain | with Immuno-Nutrients - 850g Pack","https://m.media-amazon.com/images/I/819LAhm-8PL._AC_UL320_.jpg"
4,6,36,"B08BN1QZBY",true,58,"INR",65,7,10.77,3985,3.7,"https://www.amazon.in/dp/B08BN1QZBY","14744.50",false,false,false,false,"Dabur Hommade Sweet Tomato Chutney Pouch T, 200 Gm","https://m.media-amazon.com/images/I/81TtXIT6XQL._AC_UL320_.jpg"
4,7,37,"B07NFGMVRQ",true,50,"INR",60,10,16.67,3842,4.4,"https://www.amazon.in/dp/B07NFGMVRQ","16904.80",false,false,false,false,"Parle Hide and Seek Chocolate Chip Cookies, 200g","https://m.media-amazon.com/images/I/61v3SlFR2oS._AC_UL320_.jpg"
4,8,38,"B01H4UJLDU",true,400,"INR",496,96,19.35,31767,4.5,"https://www.amazon.in/dp/B01H4UJLDU","142951.50",false,false,false,false,"Surf Excel Easy Wash Detergent Powder, 4 kg","https://m.media-amazon.com/images/I/61rDJVoKpeL._AC_UL320_.jpg"
5,1,41,"B097BTC2WN",true,265,"INR",310,45,14.52,62,4,"https://www.amazon.in/dp/B097BTC2WN","248.00",false,false,false,true,"Nimyle Floor cleaner with Power of Neem and freshness of lemongrass 2L","https://m.media-amazon.com/images/I/612aLROy3WS._AC_UL320_.jpg"
5,2,42,"B07CFR4HS2",true,549,"INR",905,356,39.34,4979,4.4,"https://www.amazon.in/dp/B07CFR4HS2","21907.60",false,false,false,false,"INDIA GATE Super Premium Basmati Rice | Aged Rice with Long Grains & Rich Aroma | 5kg Pack","https://m.media-amazon.com/images/I/61bs3i9UIHL._AC_UL320_.jpg"
5,3,43,"B077PZBCQ4",false,193,"INR",0,0,0,626,4.2,"https://www.amazon.in/dp/B077PZBCQ4","2629.20",false,false,false,false,"Pillsbury Chakki Fresh Atta| Made from Finest Quality of Wheat Grains | 100% Atta| 0% Maida | Upto 6 Hours of Softness, 5Kg","https://m.media-amazon.com/images/I/71uWsdpv0ZL._AC_UL320_.jpg"
5,4,44,"B09CX1XX7K",true,48,"INR",60,12,20,2,3,"https://www.amazon.in/dp/B09CX1XX7K","6.00",false,false,false,false,"Ching's Secret Desi Chinese ka Combo Pack (Pack of 6), 120g","https://m.media-amazon.com/images/I/51PQWwGAdPL._AC_UL320_.jpg"
5,5,45,"B093LXC54H",true,328,"INR",368,40,10.87,35,4.5,"https://www.amazon.in/dp/B093LXC54H","157.50",false,false,false,true,"Harpic Disinfectant Toilet Cleaner, Original - 1 L + Harpic Bathroom Cleaner, Lemon - 1L","https://m.media-amazon.com/images/I/61n70TfkSfS._AC_UL320_.jpg"
5,7,47,"B08B56QPHK",true,438,"INR",525,87,16.57,7406,4.1,"https://www.amazon.in/dp/B08B56QPHK","30364.60",false,false,false,false,"Saffola Honey, 100% Pure NMR Tested Honey, 1.5kg (Super Saver Pack)","https://m.media-amazon.com/images/I/71DJ5GbqkIS._AC_UL320_.jpg"
5,10,50,"B01CJW0N30",true,68,"INR",70,2,2.86,2569,4.4,"https://www.amazon.in/dp/B01CJW0N30","11303.60",false,false,false,false,"Ujala Supreme - 250 ml","https://m.media-amazon.com/images/I/51+wHKAmsCS._AC_UL320_.jpg"
6,1,51,"B077QJVVYM",true,309,"INR",375,66,17.6,11321,4.3,"https://www.amazon.in/dp/B077QJVVYM","48680.30",false,false,false,false,"Fortune Chakki Fresh Atta, 10 kg, 100% Atta 0% Maida","https://m.media-amazon.com/images/I/516L7l3+ltL._AC_UL320_.jpg"
6,2,52,"B08R8FPQ2F",true,41,"INR",64,23,35.94,682,4.4,"https://www.amazon.in/dp/B08R8FPQ2F","3000.80",false,false,false,true,"Amazon Brand – Vedaka Amchoor (Dry Mango) Powder, 100g","https://m.media-amazon.com/images/I/91LcPdF-SJL._AC_UL320_.jpg"
6,4,54,"B01K4F4QG4",true,50,"INR",64,14,21.88,22401,4.4,"https://www.amazon.in/dp/B01K4F4QG4","98564.40",false,false,false,false,"Tata Sampann Besan, 500g","https://m.media-amazon.com/images/I/61hKfworv4L._AC_UL320_.jpg"
6,5,55,"B01CHVPHXE",true,134,"INR",158,24,15.19,2095,4.2,"https://www.amazon.in/dp/B01CHVPHXE","8799.00",false,false,false,false,"Tata Tea Kanan Devan Classic, 500gm","https://m.media-amazon.com/images/I/71heAazYuKL._AC_UL320_.jpg"
6,6,56,"B07NHPKSVX",true,158,"INR",170,12,7.06,3135,4.5,"https://www.amazon.in/dp/B07NHPKSVX","14107.50",false,false,false,false,"Surf Excel Easy Wash Detergent Liquid, 1L","https://m.media-amazon.com/images/I/513IFovA4sL._AC_UL320_.jpg"
6,8,58,"B071CVX6GD",false,0,"INR",0,0,0,4898,4.5,"https://www.amazon.in/dp/B071CVX6GD","22041.00",false,false,false,false,"Fortune Sunlite Refined Sunflower Oil, 1L","https://m.media-amazon.com/images/I/51TH5xE+2sL._AC_UL320_.jpg"
6,9,59,"B08JMB4KCR",true,240,"INR",300,60,20,922,4.3,"https://www.amazon.in/dp/B08JMB4KCR","3964.60",false,false,false,false,"Amazon Brand – Vedaka Popular Refined Sugar, 5kg","https://m.media-amazon.com/images/I/81QPmnqIZuL._AC_UL320_.jpg"
6,10,60,"B06ZYSCP9L",true,149,"INR",225,76,33.78,3950,4.4,"https://www.amazon.in/dp/B06ZYSCP9L","17380.00",false,false,false,false,"Gemini Refined Sunflower Oil Pouch, 1L","https://m.media-amazon.com/images/I/71-Y+qbbvsL._AC_UL320_.jpg"
7,1,61,"B071RBLZH8",false,255,"INR",0,0,0,1188,4.4,"https://www.amazon.in/dp/B071RBLZH8","5227.20",false,false,false,false,"Haldiram's Moong Dal, 1kg","https://m.media-amazon.com/images/I/71utSmSewOL._AC_UL320_.jpg"
7,2,62,"B086KP9S92",false,215,"INR",0,0,0,2514,4.5,"https://www.amazon.in/dp/B086KP9S92","11313.00",false,false,false,false,"Dettol Cool Germ Protection Bathing Soap bar, 125gm (Pack of 5)","https://m.media-amazon.com/images/I/61sphyu9vWS._AC_UL320_.jpg"
7,3,63,"B07HPX4JZ9",false,42,"INR",0,0,0,6361,4.3,"https://www.amazon.in/dp/B07HPX4JZ9","27352.30",false,false,false,false,"Haldiram's Navrattan, 200g+20g Free","https://m.media-amazon.com/images/I/719MK98CXtL._AC_UL320_.jpg"
7,4,64,"B0897XTSFH",false,470,"INR",0,0,0,5583,4.4,"https://www.amazon.in/dp/B0897XTSFH","24565.20",false,false,false,false,"Ariel Matic Liquid Detergent Front Load Refill Pouch, 2 Litre","https://m.media-amazon.com/images/I/71PNCdCZI2L._AC_UL320_.jpg"
7,5,65,"B00NBSEXWY",true,79,"INR",80,1,1.25,4551,4.5,"https://www.amazon.in/dp/B00NBSEXWY","20479.50",false,false,true,false,"Aashirvaad Atta with Multigrains, 1kg","https://m.media-amazon.com/images/I/91j3Eaf3BZL._AC_UL320_.jpg"
7,6,66,"B01CJULE94",false,60,"INR",0,0,0,2206,4.2,"https://www.amazon.in/dp/B01CJULE94","9265.20",false,false,false,false,"Colgate ZigZag Toothbrush - Medium (Buy 2 Get 1)","https://m.media-amazon.com/images/I/71Pc35Zb9qL._AC_UL320_.jpg"
7,7,67,"B08C3KG48D",false,40,"INR",0,0,0,2487,3.9,"https://www.amazon.in/dp/B08C3KG48D","9699.30",false,false,false,false,"Haldiram Rusk, 300g","https://m.media-amazon.com/images/I/41BuYxY3wgL._AC_UL320_.jpg"
7,8,68,"B0753K7HZY",true,210,"INR",300,90,30,2154,4.3,"https://www.amazon.in/dp/B0753K7HZY","9262.20",false,false,false,false,"Paper Boat Chikki Jar, Peanut Bar, No Added Preservatives and Colours (50 Pieces, 16g Each)","https://m.media-amazon.com/images/I/714I8tfpiaL._AC_UL320_.jpg"
7,9,69,"B0744LGRYJ",true,249,"INR",295,46,15.59,19023,4.5,"https://www.amazon.in/dp/B0744LGRYJ","85603.50",false,false,false,false,"Aashirvaad Select Premium Sharbati Atta, 5kg","https://m.media-amazon.com/images/I/81l7thl5AQL._AC_UL320_.jpg"
7,10,70,"B07JJ6NLK6",true,21,"INR",28,7,25,4446,4.5,"https://www.amazon.in/dp/B07JJ6NLK6","20007.00",false,false,false,false,"Tata Sampann Kasuri Methi, 25 gm","https://m.media-amazon.com/images/I/610V4-vD5DL._AC_UL320_.jpg"
1,11,71,"B01H5KRYC4",true,337,"INR",375,38,10.13,27076,4.4,"https://www.amazon.in/dp/B01H5KRYC4","119134.40",false,false,false,false,"Aashirvaad Shudh Chakki Atta, 10kg","https://m.media-amazon.com/images/I/91pDdDLHquL._AC_UL320_.jpg"
1,12,72,"B01H6QIOXK",false,86,"INR",0,0,0,61665,4.4,"https://www.amazon.in/dp/B01H6QIOXK","271326.00",false,false,false,false,"Maggi 2-Minute Instant Noodles - Masala, 560g","https://m.media-amazon.com/images/I/81tiRzUBKEL._AC_UL320_.jpg"
1,13,73,"B07NSDXYN1",true,209,"INR",276,67,24.28,1263,4.3,"https://www.amazon.in/dp/B07NSDXYN1","5430.90",false,false,false,false,"Amazon Brand - Presto! Dishwash Tub - 700 g (Pack of 4)","https://m.media-amazon.com/images/I/810f32wfCzS._AC_UL320_.jpg"
1,14,74,"B071GC8FKC",true,34,"INR",45,11,24.44,15120,4.3,"https://www.amazon.in/dp/B071GC8FKC","65016.00",false,false,true,false,"Parle Rusk, Elaichi, 300g","https://m.media-amazon.com/images/I/71oJ9cOxbUL._AC_UL320_.jpg"
1,15,75,"B07SZ7CLF3",true,1,"INR",26,25,96.15,162,4.4,"https://www.amazon.in/dp/B07SZ7CLF3","712.80",false,false,false,false,"Tata Sampann Fine Besan 200g","https://m.media-amazon.com/images/I/61j0zYyPbuS._AC_UL320_.jpg"
1,16,76,"B01H5LROLO",true,1066,"INR",1138,72,6.33,10814,4.5,"https://www.amazon.in/dp/B01H5LROLO","48663.00",false,false,false,false,"Saffola Gold Refined Cooking oil | Blended Rice Bran & Sunflower oil | Helps Keeps Heart Healthy | 5 Litre jar","https://m.media-amazon.com/images/I/614fk1YuoeL._AC_UL320_.jpg"
1,17,77,"B07GRC3F97",true,199,"INR",240,41,17.08,3929,4,"https://www.amazon.in/dp/B07GRC3F97","15716.00",false,false,false,false,"Vedaka Popular Cashews - Broken, 200g","https://m.media-amazon.com/images/I/919hBJl61NL._AC_UL320_.jpg"
1,18,78,"B07GR3KLMF",true,499,"INR",550,51,9.27,14596,4.3,"https://www.amazon.in/dp/B07GR3KLMF","62762.80",false,false,false,false,"Amazon Brand - Vedaka Popular Whole Almonds, 500g","https://m.media-amazon.com/images/I/91izJLBgdYL._AC_UL320_.jpg"
1,19,79,"B07DJFDMNY",true,164,"INR",195,31,15.9,1999,4.4,"https://www.amazon.in/dp/B07DJFDMNY","8795.60",false,false,false,false,"Saffola Masala Oats, Peppy Tomato, 500 g","https://m.media-amazon.com/images/I/71wAf-+AevL._AC_UL320_.jpg"
1,20,80,"B07DJFDMNZ",true,155,"INR",190,35,18.42,5306,4.4,"https://www.amazon.in/dp/B07DJFDMNZ","23346.40",false,false,false,false,"Saffola Masala Oats, Classic Masala, 500 g","https://m.media-amazon.com/images/I/71JMs56oStL._AC_UL320_.jpg"
1,21,81,"B01H4UKTCW",true,131,"INR",146,15,10.27,7956,4.2,"https://www.amazon.in/dp/B01H4UKTCW","33415.20",false,false,false,false,"Harpic Flushmatic In-Cistern Toilet Cleaner Blocks, Aquamarine - 100 g","https://m.media-amazon.com/images/I/61umX81KauL._AC_UL320_.jpg"
1,22,82,"B07GXVH185",true,270,"INR",302,32,10.6,14544,4.5,"https://www.amazon.in/dp/B07GXVH185","65448.00",false,false,false,false,"Cadbury Bournvita Health Drink, 750 gm Refill Pack","https://m.media-amazon.com/images/I/71en2Xly+8L._AC_UL320_.jpg"
1,24,84,"B07GR3L2JG",false,120,"INR",0,0,0,3929,4,"https://www.amazon.in/dp/B07GR3L2JG","15716.00",false,false,false,false,"Vedaka Popular Cashews - Broken, 100g","https://m.media-amazon.com/images/I/91MmlqqingL._AC_UL320_.jpg"
1,25,85,"B09FSYP9TD",true,19,"INR",40,21,52.5,169,4.2,"https://www.amazon.in/dp/B09FSYP9TD","709.80",false,false,false,false,"Fortune Chakki Fresh Atta 1Kg","https://m.media-amazon.com/images/I/91HtHosARIL._AC_UL320_.jpg"
1,26,86,"B07ZYZBVGK",true,223,"INR",315,92,29.21,22550,4.5,"https://www.amazon.in/dp/B07ZYZBVGK","101475.00",false,false,false,false,"Tata Tea Gold, 500g","https://m.media-amazon.com/images/I/51dE378i-zL._AC_UL320_.jpg"
1,27,87,"B01K4F4VXC",true,43,"INR",78,35,44.87,15956,4.3,"https://www.amazon.in/dp/B01K4F4VXC","68610.80",false,false,true,false,"Tata Sampann Garam Masala with Natural Oils, 100g","https://m.media-amazon.com/images/I/61hu+NoAZRL._AC_UL320_.jpg"
1,29,89,"B081QWXWPM",true,150,"INR",175,25,14.29,4404,4.3,"https://www.amazon.in/dp/B081QWXWPM","18937.20",false,false,false,false,"Amazon Brand - Vedaka Popular Moong Dal (Yellow), 1 kg","https://m.media-amazon.com/images/I/917K+FOPh2L._AC_UL320_.jpg"
1,30,90,"B085NXKHVG",true,223.82,"INR",500,276.18,55.24,1376,4,"https://www.amazon.in/dp/B085NXKHVG","5504.00",false,false,false,false,"Amazon Brand - Solimo dates 500g","https://m.media-amazon.com/images/I/91giO86c2xL._AC_UL320_.jpg"
1,32,92,"B01MZWIZOW",true,105,"INR",148,43,29.05,8155,4.4,"https://www.amazon.in/dp/B01MZWIZOW","35882.00",false,false,false,false,"Cinthol Lime Bath Soap 100g (Pack of 4) + 100g FREE","https://m.media-amazon.com/images/I/61enwi6WA8L._AC_UL320_.jpg"
1,33,93,"B08CPRYLK4",true,258,"INR",335,77,22.99,10505,4.5,"https://www.amazon.in/dp/B08CPRYLK4","47272.50",false,false,false,false,"Lizol Disinfectant Surface & Floor Cleaner Liquid Refill Pack, Citrus - 1800 ml | Kills 99.9% Germs","https://m.media-amazon.com/images/I/61-0kLu4QBL._AC_UL320_.jpg"
1,34,94,"B09C9HD36B",false,40,"INR",0,0,0,1,5,"https://www.amazon.in/dp/B09C9HD36B","5.00",false,false,false,true,"24 Mantra Organic Thin Poha","https://m.media-amazon.com/images/I/612DO-8hRVL._AC_UL320_.jpg"
1,35,95,"B01GCFFOO8",false,0,"INR",0,0,0,8452,4.4,"https://www.amazon.in/dp/B01GCFFOO8","37188.80",false,false,false,false,"Fortune Sunlite Refined Sunflower Oil, 5L Can","https://m.media-amazon.com/images/I/412TbDp8+mL._AC_UL320_.jpg"
1,36,96,"B081QX5BV2",true,127,"INR",150,23,15.33,7083,4.3,"https://www.amazon.in/dp/B081QX5BV2","30456.90",false,false,false,false,"Amazon Brand - Vedaka Popular Toor Dal, 1kg","https://m.media-amazon.com/images/I/81+9hsjSQxL._AC_UL320_.jpg"
1,37,97,"B07T1BVJ5R",true,29,"INR",42,13,30.95,20407,4.4,"https://www.amazon.in/dp/B07T1BVJ5R","89790.80",false,false,false,false,"Tata Sampann Thick Poha, 500g","https://m.media-amazon.com/images/I/61e5wNIyogS._AC_UL320_.jpg"
